"Study_ID","Function_group","variation","m_g","se_g","n_g","m_c","se_c","n_c","sd_g","sd_c","yi","vi"
"#1515","Plant biomass - above-ground","SE",109.728125,22.9371279,5,91.809496,7.355493,5,51.288977193007,16.4473823560239,-0.178289980917922,0.0501147666733357
"#1515","Plant biomass - above-ground","SE",72.931494,13.8500944,5,91.809496,7.355493,5,30.9697525731892,16.4473823560239,0.230195172359183,0.0424828313386035
"#1662","Respiration","SE",25,2,6,34,8,6,4.89897948556636,19.5959179422654,0.307484699747961,0.0617633217993079
"#1662","Respiration","SE",43,7,6,28,3,6,17.1464281994822,7.34846922834953,-0.428995605518358,0.0379804030860586
"#1393","Plant biomass - above-ground","SE",230.3567184,5.7663912,3,278.3960683,6.7755097,3,9.98768253471807,11.7355270475758,0.189415748866644,0.00121894499598727
"#1394","Plant biomass - above-ground","SE",222.3186251,7.727723,3,325.0417156,5.0076555,3,13.3848088628186,8.67351375280173,0.379841928698928,0.00144558574955399
"#1123","Plant biomass - above-ground","SE",24.7,1.5,9,33.8,1.7,9,4.5,5.1,0.313657558855042,0.00621765379266479
"#1123","Plant biomass - above-ground","SE",24.5,0.8,9,33.8,1.7,9,2.4,5.1,0.321787684938292,0.00359589573809601
"#1123","Plant biomass - above-ground","SE",26.2,1.4,9,33.8,1.7,9,4.2,5.1,0.254701391721922,0.00538498479280174
"#1123","Plant biomass - above-ground","SE",24.4,1,9,33.8,1.7,9,3,5.1,0.325877670189817,0.00420932933721561
"#1013","Plant biomass - above-ground","SE",431.82,7.49,3,669.72,25.39,3,12.9730605486909,43.9767700041738,0.438850879840575,0.00173812728822838
"#1157","Plant biomass - above-ground","SE",362.02,35.209,9,468.506,75.514,9,105.627,226.542,0.257849449508373,0.0354380672783386
"#1157","Plant biomass - above-ground","SE",424.8,34.531,9,468.506,75.514,9,103.593,226.542,0.0979304384990504,0.0325868164671624
"#1157","Plant biomass - above-ground","SE",259.445,34.914,9,468.506,75.514,9,104.742,226.542,0.591004174334671,0.0440887214487714
"#1157","Plant biomass - above-ground","SE",493.743,42.302,9,511.635,60.759,9,126.906,182.277,0.0355963412875108,0.0214430533968402
"#1157","Plant biomass - above-ground","SE",538.655,35.878,9,511.635,60.759,9,107.634,182.277,-0.0514638115753877,0.0185390950592038
"#1157","Plant biomass - above-ground","SE",421.184,53.021,9,511.635,60.759,9,159.063,182.277,0.194541687353501,0.0299498344436523
"#1508","Plant biomass - above-ground","SE",8.42832469775474,0.1727115716753,3,7.47841105354058,0.518134715025909,3,0.299145217196694,0.897435651590097,-0.119577677850657,0.00522019561813402
"#1097","Plant biomass - above-ground","SE",209.889,50.293,3,580.611,140.972,3,87.1100312650615,244.1706664446,1.0175021777833,0.116367916054523
"#1097","Plant biomass - above-ground","SE",344.722,71.524,3,1124.25,163.998,3,123.883201960556,284.052868339681,1.1821331305499,0.0643282545134645
"#1097","Plant biomass - above-ground","SE",213.333,78.147,3,412.083,142.626,3,135.354574459085,247.035478480319,0.658370460186221,0.253978464648162
"#1708","Plant biomass - above-ground","SE",152.72,2.391,6,156.58,8.03,6,5.85672997499458,19.6694026345489,0.0249608820622761,0.00287513029283879
"#1708","Plant biomass - above-ground","SE",41.97,5.94,6,45,5.14,6,14.5499690721321,12.5903772779055,0.0697074124248202,0.0330773618542847
"#1068","Plant biomass - above-ground","SE",861.6,140.72,6,3533.97,230.39,6,344.692196604449,564.337941839816,1.41138603803709,0.0309248680776854
"#1068","Plant biomass - below-ground","SE",249.79,38.68,6,439.28,38.66,6,94.7462632508533,94.6972734559976,0.564516458106063,0.0317238916984554
"#1068","Plant biomass - above-ground","SE",311.97,20.27,6,2525.68,258.85,6,49.651157086215,634.050419919426,2.0913585830433,0.0147252827855809
"#1068","Plant biomass - below-ground","SE",188.59,29.06,6,376.61,24.47,6,71.1821719252791,59.9390140059044,0.691634822718522,0.0279656704610224
"#1690","Plant biomass - above-ground","SE",178.76,55.3,4,348.26,82.86,3,110.6,143.517729915157,0.666905203185986,0.152308111253421
"#1505","Plant biomass - above-ground","SE",487.831858407079,82.079646017699,4,625.663716814159,74.336283185841,4,164.159292035398,148.672566371682,0.248842239135518,0.0424256609446671
"#1505","Plant biomass - above-ground","SE",698.451327433628,120.796460176991,4,1096.46017699115,167.25663716814,4,241.592920353982,334.51327433628,0.450976754191042,0.053180532892232
"#1505","Plant biomass - above-ground","SE",478.539823008849,49.5575221238941,4,755.75221238938,86.725663716814,4,99.1150442477881,173.451327433628,0.456974128955402,0.0238931498789334
"#1505","Plant biomass - above-ground","SE",788.274336283185,94.469026548673,4,639.601769911504,60.398230088496,4,188.938053097346,120.796460176992,-0.20900042358949,0.0232795160702096
"#1505","Plant biomass - above-ground","SE",746.46017699115,78.982300884956,4,825.442477876106,60.3982300884951,4,157.964601769912,120.79646017699,0.100577310115244,0.0165495276801733
"#1505","Plant biomass - above-ground","SE",755.75221238938,69.6902654867259,4,1209.51327433628,74.3362831858401,4,139.380530973452,148.67256637168,0.470259743986537,0.0122805492118927
"#1511","Plant biomass - above-ground","SE",252.048558421851,31.866464339909,9,401.365705614567,56.449165402124,9,95.599393019727,169.347496206372,0.465251234679105,0.0357648851708289
"#1511","Plant biomass - above-ground","SE",382.245827010622,22.761760242792,9,401.365705614567,56.449165402124,9,68.2852807283759,169.347496206372,0.0488090679397885,0.0233262728307909
"#1511","Plant biomass - above-ground","SE",479.666160849772,34.597875569044,9,401.365705614567,56.449165402124,9,103.793626707132,169.347496206372,-0.178217367923218,0.024982978467648
