"excel_row","Study_ID","Author_Year","Location_ID","Measured","Order","Family","Common_name","Trophic_Level","Sampling_date","variation","m_g","se_g","n_g","m_c","se_c","n_c","Stratum","Herbivore_origin","Max_size_class","Single_size_class","Response_group","Design","Years_since_exclusion","zero_adjusted","sd_g","sd_c","yi","vi","es_id"
2,"#1515","Veen et al., 2024","LOC19","Abundance",NA,NA,NA,"Pollinators","2020","SE",17.74049,1.521021,5,22.07675,3.260187,5,"Above-ground","Native","Medium","Medium","Abundance","Exclosure",3,FALSE,3.40110635120471,7.28999975136111,0.218675420851085,0.0291588227244267,1
3,"#1515","Veen et al., 2024","LOC19","Abundance",NA,NA,NA,"Pollinators","2020","SE",17.28348,2.102269,5,22.07675,3.260187,5,"Above-ground","Mixed",NA,NA,"Abundance","Exclosure",3,FALSE,4.70081639099051,7.28999975136111,0.244773886557321,0.0366029184416449,2
4,"#1515","Veen et al., 2024","LOC19","Abundance","Orthoptera",NA,NA,"Herbivores","44055","SE",1.725485,0.747867,5,5.333139,1.775672,5,"Above-ground","Native","Medium","Medium","Abundance","Exclosure",3,FALSE,1.67228145012884,3.97052329774301,1.1284318250221,0.298712682657518,3
5,"#1515","Veen et al., 2024","LOC19","Abundance","Orthoptera",NA,NA,"Herbivores","44055","SE",2.299033,1.261376,5,5.333139,1.775672,5,"Above-ground","Mixed",NA,NA,"Abundance","Exclosure",3,FALSE,2.82052248118677,3.97052329774301,0.841451395662798,0.411878455871116,4
6,"#1515","Veen et al., 2024","LOC19","Abundance","Hymenpotera",NA,NA,"Pollinators","2020","SE",11.77162,1.896514,5,14.41858,1.517086,5,"Above-ground","Native","Medium","Medium","Abundance","Exclosure",3,FALSE,4.24073422428004,3.39230742371325,0.202826102802886,0.0370268204611274,5
7,"#1515","Veen et al., 2024","LOC19","Abundance","Hymenpotera",NA,NA,"Pollinators","2020","SE",13.00383,2.416012,5,14.41858,1.517086,5,"Above-ground","Mixed",NA,NA,"Abundance","Exclosure",3,FALSE,5.40236706645522,3.39230742371325,0.103273723211132,0.0455895020398957,6
8,"#1515","Veen et al., 2024","LOC19","Abundance","Diptera",NA,NA,"Pollinators","2020","SE",5.754897,0.8530133,6,6.356555,1.7524805,5,"Above-ground","Native","Medium","Medium","Abundance","Exclosure",3,FALSE,2.08944732880763,3.91866552724282,0.0994354193977459,0.0979789321653511,7
9,"#1515","Veen et al., 2024","LOC19","Abundance","Diptera",NA,NA,"Pollinators","2020","SE",3.76197,1.212737,7,6.356555,1.7524805,5,"Above-ground","Mixed",NA,NA,"Abundance","Exclosure",3,FALSE,3.20860050772654,3.91866552724282,0.524543807565595,0.179929434840463,8
10,"#2758","Huntzinger et al., 2011","LOC03","Abundance","Gastropoda",NA,"Snails","Detritivore/herbivore","45049","SE",0.3150088,0.1448622,12,3.2783465,0.9291108,12,"Ground & litter-dwelling","Native","Small","Small","Abundance","Exclosure",25,FALSE,0.501817380992408,3.21853422292193,2.34249388347206,0.291798095972705,9
11,"#2758","Huntzinger et al., 2011","LOC03","Abundance","Gastropoda",NA,"Snails","Detritivore/herbivore","45049","SE",0.6256686,0.1855079,12,0.7141569,0.2872589,12,"Ground & litter-dwelling","Native","Small","Small","Abundance","Exclosure",25,FALSE,0.642618216010813,0.995094019452695,0.132281848146792,0.249702552871449,10
12,"#2201","Wilkerson et al., 2013","LOC26","Abundance","Lepidoptera","Pieridae","Butterfly","Pollinators","06/2007 and 07/2009","SE",4.4979243,0.6828968,3,3.487319,0.8893165,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",14,FALSE,1.1828119539262,1.54034136200933,-0.254482777534339,0.0880831281149895,11
